Place;ProductId;ProductName;UmId;UmName;Month;Year;Price
National Average;52;Rice - Retail;5;KG;1;2021;119.249
National Average;52;Rice - Retail;5;KG;2;2021;128.107
National Average;52;Rice - Retail;5;KG;3;2021;128.107
National Average;52;Rice - Retail;5;KG;4;2021;128.719
National Average;52;Rice - Retail;5;KG;5;2021;129.061
National Average;58;Wheat flour - Retail;5;KG;1;2021;45.195
National Average;58;Wheat flour - Retail;5;KG;2;2021;51.774
National Average;58;Wheat flour - Retail;5;KG;3;2021;51.774
National Average;58;Wheat flour - Retail;5;KG;4;2021;51.399
National Average;58;Wheat flour - Retail;5;KG;5;2021;52.429
National Average;66;Beans (white) - Retail;5;KG;1;2021;158.964
National Average;66;Beans (white) - Retail;5;KG;2;2021;163.851
National Average;66;Beans (white) - Retail;5;KG;3;2021;163.851
National Average;66;Beans (white) - Retail;5;KG;4;2021;155.613
National Average;66;Beans (white) - Retail;5;KG;5;2021;15.889
National Average;83;Potatoes - Retail;5;KG;1;2021;21.491
National Average;83;Potatoes - Retail;5;KG;2;2021;21.408
National Average;83;Potatoes - Retail;5;KG;3;2021;21.408
National Average;83;Potatoes - Retail;5;KG;4;2021;18.967
National Average;83;Potatoes - Retail;5;KG;5;2021;26.852
National Average;92;Eggs - Retail;33;Unit;1;2021;0.8936
National Average;92;Eggs - Retail;33;Unit;2;2021;0.82
National Average;92;Eggs - Retail;33;Unit;3;2021;0.82
National Average;92;Eggs - Retail;33;Unit;4;2021;0.7725
National Average;92;Eggs - Retail;33;Unit;5;2021;0.7783
National Average;94;Meat (chicken) - Retail;5;KG;1;2021;146.031
National Average;94;Meat (chicken) - Retail;5;KG;2;2021;160.121
National Average;94;Meat (chicken) - Retail;5;KG;3;2021;160.121
National Average;94;Meat (chicken) - Retail;5;KG;4;2021;181.334
National Average;94;Meat (chicken) - Retail;5;KG;5;2021;18.44
National Average;97;Sugar - Retail;5;KG;1;2021;51.125
National Average;97;Sugar - Retail;5;KG;2;2021;56.432
